AGO	io, kion oni faras
PIRATO	marrabisto
PLAFONO	plataĵo super ĉambro
PLANKO	tio, sur kiu oni paŝas en ĉambro
POŜTO	organizo por transporti leterojn
PROCESO	sinsekvo de fenomenoj
PSIĤO	tuto de la mensaj fortoj
RUBENO	ruĝa valorŝtono
SAFIRO	blua valorŝtono
SERIO	laŭorda sinsekvo
SKATOLO	ujo el ligno ail simila materialo
SPEKTAKLO	interesa vidaĵo
ŜPRUCI	rapide elflui
ŜTELI	preni ion, kio apartenas al alia
ŜVITI	eligi fluaĵon tra la haŭto
TEGMENTO	domsupraĵo
TENDO	provizora loĝejeto el tolo
TUFO	densa aro da maldikaĵoj
VALO	intermonto
VANDO	maldika mureto
VAPORO	gasa nubo
VETERANO	homo, kiu longe servadis ĉe io
VIGLA	vivoplena
VIOLO	floro kun karakteriza koloro
ADRIA MARO	la maro kuŝanta inter Italujo kaj Jugoslavio
AŬTOMATO	io funkcianta sen homa direktado
BOATO	ŝipeto
BRAVA	preta sentime fari sian devon
ĈAPO	plata kapvesto
ĈEMIZO	subvesto
DALMATIO	regiono de Jugoslavio
DANCI	ritme movigi laŭ muzika takto
EĤO	ripetiĝo de sono
EKSTREMA	plej malproksima
ETENDI	plilongigi ĉiudirekten
FADENO	longa maldika ŝnureto
FAJFI	krei sonon blovante tra la lipoj
FANTOMO	spirito de mortinto; reaperanto
FATALA	malfeliĉiga, grava, ne evitebla
FEBRO	forta eksciteco
FIRMA	neŝancelebla
FULMO	granda rapidpasanta ĉiela fajro
FURIO	furioza virino
HORIZONTO	limo de la vidkapablo
HURLI	bleki sovaĝe
INFERO	loko, kie mortintaj animoj suferegas
INSTINKTO	aŭtomata aktivigo, plejofte de bestoj
KALO	malmolaĵo de la haŭto
KANDIDATO	aspiranto al ofico
KAPRICO	subita, neantaŭvidebla emo
KARBO	nigra substanco, uzata por hejti
KNARI	eligi akran bruon skrapan aŭ frotan
KRAKI	eligi sekan bruon elŝirado aŭ rompado
LARĜA	multampleksa
LAZURO	blua koloro de la ĉielo
LEĜERA	malpeza
LULI	balanceti
LUPO	sovaĝa hundsimila besto
MANOVRI	fari laŭcelajn iradojn
MOKI	priridi iun
MUSKOLO	fibraĵo, kiu movas la membrojn de korpo
NEPRA	neevitebla, deviga
PALPI	tuŝesplori per la mano
PALPEBRO	membrano kovranta la okulon
PENI	energie streĉi siajn fortojn
PEPI	birdokrieti
PETOLI	amuziĝi infanece
PIPO	aparato, per kiu oni fumas tabakon
POŬPO	sipmalantaŭo
PRUO	ŝipantaŭo
PUPO	ludila figureto
RAMPI	antaŭeniri malfacile, foje surventre
REGIONO	speciala land- aŭ marspaco
REVI	imagi tion, kion oni forte deziras
REZONI	logike tiri konkludon el argumentoj
RIGIDA	nefleksebla
SALO	blanka substanco, uzata por gustigi manĝaĵojn
SAPO	substanco uzata por lavpurigi
SILKO	delikata teksaĵo
SIMIO	homosimila besto
