C.eo content.tsv
Level	Esperanto	eo	en-us	Grupo	Alternativoj	Pronoco
level	ofta	ofta	freqent, often	grupo	alternativoj	prononco
level	soni	soni	to sound, to make sound	grupo	alternativoj	prononco
level	tero	tero	earth, land, soil	grupo	alternativoj	prononco
level	vivi	vivi	to live, to be alive	grupo	alternativoj	prononco
level	resti	resti	to stay, to remain	grupo	alternativoj	prononco
level	ridi	ridi	to laugh	grupo	alternativoj	prononco
level	homo	homo	a human, a man	grupo	alternativoj	prononco
level	akvo	akvo	water	grupo	alternativoj	prononco
level	vorto	vorto	a word	grupo	alternativoj	prononco
level	certa	certa	certain, sure	grupo	alternativoj	prononco
level	lando	lando	a land, a country	grupo	alternativoj	prononco
level	sama	sama	same	grupo	alternativoj	prononco
level	ĵeti	ĵeti	to throw	grupo	alternativoj	prononco
level	stelo	stelo	a star	grupo	alternativoj	prononco
level	domo	domo	a house, a home	grupo	alternativoj	prononco
level	nomo	nomo	a name, an appellation	grupo	alternativoj	prononco
level	vidi	vidi	to see	grupo	alternativoj	prononco
level	mola	mola	soft	grupo	alternativoj	prononco
level	horo	horo	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	formo	a form, a shape	grupo	alternativoj	prononco
level	tago	tago	a day	grupo	alternativoj	prononco
level	fumo	fumo	a smoke	grupo	alternativoj	prononco
level	ĉevalo	ĉevalo	a horse	grupo	alternativoj	prononco
level	jaro	jaro	a year	grupo	alternativoj	prononco
level	vojaĝi	vojaĝi	to travel	grupo	alternativoj	prononco
level	celo	celo	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	naski	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	manki	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	birdo	a bird	grupo	alternativoj	prononco
level	halti	halti	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	frato	a brother	grupo	alternativoj	prononco
level	monto	monto	a mountain	grupo	alternativoj	prononco
level	pensi	pensi	to think	grupo	alternativoj	prononco
level	permesi	permesi	to permit, to allow	grupo	alternativoj	prononco
level	kosti	kosti	to cost	grupo	alternativoj	prononco
level	lito	lito	a bed, a couch	grupo	alternativoj	prononco
level	perdi	perdi	to lose	grupo	alternativoj	prononco
level	miri	miri	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	persono	a person	grupo	alternativoj	prononco
level	diversa	diversa	diverse, varied, various	grupo	alternativoj	prononco
level	provi	provi	to try, to attempt	grupo	alternativoj	prononco
level	pagi	pagi	to pay	grupo	alternativoj	prononco
level	prezenti	prezenti	to present, to introduce	grupo	alternativoj	prononco
level	aparta	aparta	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	rajto	right, a right	grupo	alternativoj	prononco
level	mateno	mateno	morning, a morning	grupo	alternativoj	prononco
level	agrabla	agrabla	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	vespero	evening, an evening	grupo	alternativoj	prononco
level	muro	muro	a wall	grupo	alternativoj	prononco
level	suno	suno	sun, a sun	grupo	alternativoj	prononco
level	rigardi	rigardi	to look, to look at	grupo	alternativoj	prononco
level	senti	senti	to feel, to sense	grupo	alternativoj	prononco
level	blanka	blanka	white, blank	grupo	alternativoj	prononco
level	simpla	simpla	simple	grupo	alternativoj	prononco
level	rimarki	rimarki	to notice	grupo	alternativoj	prononco
level	lingvo	lingvo	a language, tongue	grupo	alternativoj	prononco
